"","cutdist","avg","sdev","n","se","first","second","label","ci","age"
"1","0",0.0745405357422183,0.0696822289561484,53,0.00957159026661821,0.0302285443936987,0.181719719806033,"Before",0.019206801027869,"Changhsingian"
"2","2000",0.0453389338151736,0.0253534740077061,55,0.00341866173779217,0.0242309478616008,0.0903558771473363,"Before",0.00685400411142051,"Changhsingian"
"3","4000",0.0327478277751134,0.0290984353741418,84,0.0031748995882568,0.0102102841747276,0.0965532628850935,"Before",0.00631474758713745,"Changhsingian"
"4","6000",0.0236211396030216,0.0219328669839355,80,0.00245216907587703,0.00680678545488328,0.0709602850232436,"Before",0.00488092045259925,"Changhsingian"
"5","8000",0.0173261354347377,0.0177928056144331,58,0.00233630983579765,0.00371642246642247,0.0583478808588632,"Before",0.00467837974838665,"Changhsingian"
"6","10000",0.00852674637423497,0.0120450542455829,27,0.00231807177036364,0.000686813186813187,0.0416334069531286,"Before",0.00476486476486946,"Changhsingian"
"7","12000",0.0156957467253666,0.0137339563447665,6,0.00560686419905625,0.00836591979449122,0.0373273337581241,"Before",0.0144129032649735,"Changhsingian"
"8","14000",0.0231512941046465,0.0265147995631376,11,0.00799451286749152,0.00510780885780886,0.0796468403090256,"Before",0.017812884722762,"Changhsingian"
"9","16000",0.027973268513041,0.0115660839843907,3,0.00667768170185781,0.0215199726735959,0.0400605199209004,"Before",0.0287317454028965,"Changhsingian"
"10","18000",0,NA,1,NA,0,0,"Before",NA,"Changhsingian"
"11","0",0.273839338722867,0.154279663264287,17,0.0374183145601989,0.15327645998856,0.574808392029192,"After",0.0793232833240934,"Induan"
"12","2000",0.172095515335234,0.0698106456864773,18,0.0164545269879732,0.120073373306132,0.28968567634425,"After",0.0347160173651045,"Induan"
"13","4000",0.186347303158055,0.0642259550119801,31,0.0115353220478847,0.136640803860957,0.292556846748023,"After",0.0235582704929594,"Induan"
"14","6000",0.186041832739956,0.0764266022428758,34,0.0131070541519025,0.116889585578261,0.336916587984561,"After",0.0266665021765425,"Induan"
"15","8000",0.160741313790586,0.0734378283019764,30,0.0134078517117279,0.0904372674277316,0.293805652137278,"After",0.0274221357581457,"Induan"
"16","10000",0.153898057896208,0.0446711381866455,26,0.00876073097338865,0.119084902768264,0.221982738002418,"After",0.0180430631899939,"Induan"
"17","12000",0.239902957223,0.124144269088669,3,0.0716747271766925,0.203634546246963,0.312353396179557,"After",0.308391460540844,"Induan"
"18","14000",0.215337550588562,0.0712098337749343,10,0.0225185266530778,0.215273158497726,0.280294884965799,"After",0.0509404463639223,"Induan"
"19","16000",0.104208276798057,0.0179276898746066,2,0.0126767910813437,0.0978698812573847,0.116251228325333,"After",0.161073902877267,"Induan"
"20","0",0.183889307799401,0.107835102029935,15,0.027842903619901,0.136059165896041,0.366226014445711,"After-2",0.0597170890369422,"Olenekian"
"21","2000",0.133057140535691,0.0850071201123797,21,0.0185500744059611,0.0850069790577812,0.332220115742843,"After-2",0.0386947771548969,"Olenekian"
"22","4000",0.118263275581925,0.0721857703020652,32,0.0127607619214412,0.0844000823723894,0.283419435090558,"After-2",0.0260257455250426,"Olenekian"
"23","6000",0.106301577364364,0.0592877797846571,49,0.00846968282637959,0.0678495973357633,0.233981032835073,"After-2",0.0170294386767718,"Olenekian"
"24","8000",0.109421348024706,0.063847626929153,50,0.00902941799285458,0.0746560747695352,0.249612071547408,"After-2",0.0181452948041298,"Olenekian"
"25","10000",0.104298804075755,0.0544407068240912,29,0.0101093854642973,0.0644789555182181,0.18750531080616,"After-2",0.0207081373842277,"Olenekian"
"26","12000",0.068412316744945,0.0668853917215278,14,0.0178758728572945,0.0165389203095015,0.201298307826183,"After-2",0.038618475427813,"Olenekian"
"27","14000",0.10766150149149,0.0468782027443907,15,0.012103899901944,0.0820282940962495,0.158612123344415,"After-2",0.0259602833815791,"Olenekian"
"28","16000",0.11512576067066,0.0268717463587666,6,0.010970344512745,0.116626773723769,0.139022174313964,"After-2",0.0282001683351348,"Olenekian"
