"","cutdist","mean_diff","sd","n","se","lower_95","upper_95"
"1","0",-0.000634587838451406,0.00940700496480827,99,0.000945439571796347,-0.0190723175694756,0.0178031418925728
"2","2000",0.00102395533893713,0.00658512372494928,99,0.000661829836173463,-0.0118828871619635,0.0139307978398377
"3","4000",-0.00125631685543567,0.00672895062677925,99,0.000676284983692532,-0.014445060083923,0.0119324263730517
"4","6000",0.00101180986527104,0.00658601776552704,99,0.000661919690632366,-0.011896784955162,0.013920404685704
"5","8000",0.00020627014814348,0.00471951076288242,99,0.000474328678621969,-0.00904397094710606,0.00945651124339302
"6","10000",0.000636041468894516,0.00490382649878047,99,0.000492853107074455,-0.0089754584687152,0.0102475414065042
"7","12000",-0.000350401368922926,0.0062353193252935,99,0.000626673171213652,-0.0125716272464982,0.0118708245086523
"8","14000",0.000448915753436788,0.0050712841859712,99,0.000509683237882709,-0.00949080125106677,0.0103886327579403
"9","16000",-0.00165704419657842,0.00894413861562791,99,0.000898919753362623,-0.0191875558832091,0.0158734674900523
"10","18000",-0.000587058169934029,0.00935425643566606,99,0.000940138145147624,-0.0189214007838395,0.0177472844439714
